,City name,City Id
0,Rome,6539761
1,Fortuna,2517679
2,Antanifotsy,1070661
3,Mataura,6201424
4,Busselton,2075265
5,Saskylakh,2017155
6,Kodiak,4407665
7,Puerto Ayora,3652764
8,Avarua,4035715
9,Atuona,4020109
10,Bethel,5880568
11,Airai,1651810
12,Dikson,1507390
13,Itarema,3393692
14,Punta Arenas,3874787
15,Ushuaia,3833367
16,Souillac,3026644
17,New Norfolk,2155415
18,Cabo San Lucas,3985710
19,East London,1006984
20,Trairi,3386177
21,Kapaa,5848280
22,Dingle,1714733
23,Adrar,2508813
24,Barrow,3833859
25,Thompson,6165406
26,Taoudenni,2450173
27,Constitucion,4011743
28,Nouakchott,2377450
29,Hermanus,3366880
30,Katherine,2068655
31,Clyde River,5924351
32,Pavlodar,1520240
33,Butaritari,2110227
34,Bredasdorp,1015776
35,Chunhuhub,3530691
36,Rikitea,4030556
37,Cuiaba,3465038
38,Hambantota,1244926
39,Kibakwe,158024
40,Lebu,344979
41,Cervo,3469169
42,Fossombrone,3176630
43,Tura,1254046
44,Bogdana,667917
45,Kamaishi,2112444
46,Hithadhoo,1282256
47,Nikolskoye,546105
48,Chuy,3443061
49,Camacha,2270385
50,Pervomayskoye,1495256
51,Upernavik,3418910
52,Parambu,3393065
53,Maine-Soroa,2441447
54,Tazmalt,2477537
55,Narsaq,3421719
56,Quatre Cocos,1106643
57,Crotone,2524881
58,Tasiilaq,3424607
59,Luau,876177
60,Mar del Plata,3863379
61,Wundanyi,178073
62,Port Elizabeth,4501427
63,Vaini,1273574
64,Arman,2127060
65,Yellowknife,6185377
66,Alice Springs,2077895
67,Sikonge,149929
68,Clearwater,4151316
69,Ponta do Sol,3453439
70,Chaman,1181611
71,Albany,5106834
72,Murchison,2143735
73,Beloha,1067565
74,Codrington,2160063
75,Temiscaming,6162654
76,Abu Dhabi,292968
77,Ishigaki,1861416
78,Ryotsu,1853371
79,Tandag,1683302
80,Talara,3691582
81,Tiksi,2015306
82,Mitsamiouli,921786
83,Tsabong,932987
84,Gazojak,1514792
85,Santa Isabel,3668716
86,Bandarbeyla,64814
87,San Patricio,3437029
88,Wageningen,2745088
89,Yining,1786538
90,Jamestown,2069194
91,Carnarvon,1014034
92,Ancud,3899695
93,Pajapan,3522186
94,Leningradskiy,2123814
95,Ketchikan,5554428
96,Kjollefjord,779261
97,Skegness,2637762
98,Wanning,3220813
99,San Quintin,1688687
100,Manggar,1636426
101,Ilulissat,3423146
102,Lagos,2332459
103,Charters Towers,2171722
104,Tinyahuarco,3927420
105,Cape Town,3369157
106,Ribeira Grande,3372707
107,Lakes Entrance,2160735
108,Acapulco,3533462
109,Talnakh,1490256
110,Victoria,1733782
111,Bambous Virieux,1106677
112,Tocopilla,3869716
113,Hobart,2163355
114,Muzhi,1498161
115,Lamu,1623890
116,Georgetown,3378644
117,Te Anau,2181625
118,Valday,477301
119,San Blas,3987544
120,Sant Just Desvern,3109546
121,Ostrovnoy,556268
122,Khatanga,2022572
123,Washington DC.,4366164
124,Bilibino,2126682
125,Bud,7626370
126,Biltine,244878
127,Lavrentiya,4031637
128,San Jeronimo,3929607
129,Cidreira,3466165
130,Tumba,2667094
131,Hilo,5855927
132,Mount Isa,2065594
133,Sibu,1735902
134,Bilma,2446796
135,Sinjar,174611
136,Grand Gaube,934479
137,Guerrero Negro,4021858
138,Barroquinha,3406041
139,Severo-Kurilsk,2121385
140,Mahebourg,934322
141,Ambovombe,1079048
142,Sao Jose da Coroa Grande,3388456
143,Broome,2656067
144,Nabisar,1169580
145,Bichena,342190
146,Lugovoy,1498919
147,Vanavara,2013727
148,Winsum,2744337
149,Port Hardy,6111862
150,Pisco,3932145
151,Saint Anthony,5606187
152,Canala,2141658
153,Dawson Creek,5935804
154,Tuktoyaktuk,6170031
155,Vallenar,3868633
156,Qaanaaq,3831208
157,Nhulunbuy,2064735
158,Manakara,1061605
159,Eureka,5563397
160,Portland,5746545
161,Pacific Grove,5380437
162,Honningsvag,779554
163,Hofn,2630299
164,Saint-Leu,6690297
165,Kokopo,2093685
166,Chokurdakh,2126123
167,Methven,2186895
168,Viedma,3832899
169,Namatanai,2090021
170,Isangel,2136825
171,Yaan,2338660
172,Sechura,3691954
173,Upata,3625710
174,Bati,342641
175,Bavleny,578641
176,Fort Nelson,5955902
177,Karratha,6620339
178,Ambatofinandrahana,1083239
179,Kilindoni,157429
180,Ambilobe,1082243
181,Tay Ninh,1566559
182,Nanortalik,3421765
183,Hervey Bay,2146219
184,Cartagena del Chaira,3792382
185,Salalah,286621
186,Half Moon Bay,5354943
187,Husavik,5961417
188,Dmytrivka,711350
189,Maribo,2617072
190,Cardenas,3970634
191,Vardo,4372777
192,Norman Wells,6089245
193,Wuchang,2034141
194,Hasaki,2112802
195,Cortez,5418104
196,Shimoda,1852357
197,Kortkeros,544397
198,Ponta Delgada,3372783
199,Saint-Philippe,6138908
200,Mbanza-Ngungu,2312888
201,Majene,1636806
202,Klaksvik,2618795
203,Benghazi,88319
204,Provideniya,4031574
205,Lasa,146639
206,Hammerfest,779683
207,Ahipara,2194098
208,Marsh Harbour,3571913
209,Sao Filipe,3374210
210,Turbat,1163054
211,Falmouth,2649715
212,Castro,3896218
213,Hualmay,3939761
214,Birmitrapur,1275506
215,Oranjemund,3354071
216,Puerto Baquerizo Moreno,3652758
217,Cherskiy,2126199
218,Daru,2409663
219,Nichinan,1855476
220,Panlaitan,1695065
221,Alofi,4036284
222,Noyabrsk,1496503
223,Kaeo,2189343
224,Esperance,3573739
225,Imbituba,3461370
226,Iqaluit,5983720
227,San Cristobal,3652462
228,Hovd,7626384
229,Port Shepstone,964406
230,Bibiani,2303060
231,Lorengau,2092164
232,Port Macquarie,2152659
233,Kaitangata,2208248
234,Puerto del Rosario,2512186
235,Neiafu,4032420
236,Pangnirtung,6096551
237,Zhangye,1785036
238,Tiarei,4033356
239,Kuching,1735634
240,Port Blair,1259385
241,Qaqortoq,3420846
242,Bucerias,4016734
243,Egvekinot,4031742
244,Verkhnevilyuysk,2013639
245,Alihe,2038665
246,Tahara,1851259
247,Oda,1854774
248,Koumra,2429605
249,Tete,1026014
250,Alta Gracia,3866163
251,Yumen,1528998
252,Forestville,6944112
253,Muisne,3653967
254,Sanchor,1257477
255,Padang,1633419
256,Ayr,2656708
257,Usakos,3352461
258,Bluff,2175403
259,Baculin,1729469
260,Pangoa,3933104
261,Sorland,3137469
262,Iquitos,3696183
263,Athabasca,5887916
264,Igrim,1505965
265,Kruisfontein,986717
266,Nisia Floresta,3393922
267,Erzin,296852
268,Labuhan,1641899
269,Nova Olinda do Norte,3393838
270,Sabha,2212775
271,Tecalco,3532276
272,Pontianak,1630789
273,Angoche,1052944
274,Santa Cruz del Sur,3537840
275,Aswan,359792
276,Geraldton,5960603
277,Bambanglipuro,1650434
278,Port-Gentil,2396518
279,Irbeyskoye,1505529
280,Nantucket,4944903
281,Lahij,73560
282,Pamanukan,1632998
283,Lompoc,5367788
284,Coolum Beach,2170581
285,Onega,515246
286,Verkhnyaya Inta,1487332
287,Terra Santa,3386467
288,Darhan,2031964
289,Teguise,2510573
290,Namibe,3347019
291,Champerico,3530097
292,Takoradi,2294915
293,Moose Factory,6078372
294,Linxia,1803331
295,Le Mars,4864337
296,North Battleford,6089404
297,Grindavik,3416888
298,Caravelas,3466980
299,Ojinaga,3994469
300,Gora,616178
301,Bonavista,5905393
302,Monrovia,2274895
303,Varhaug,3132644
304,Aklavik,5882953
305,Astana,1526273
306,Bryan,4677008
307,Kropotkin,540761
308,Ayagoz,1525988
309,Baker City,5712169
310,Santa Rosa,3835994
311,Rawson,3839307
312,Saint George,262462
313,Gannavaram,1271613
314,Albemarle,4452303
315,Kahului,5847411
316,Juneau,5554072
317,Westport,2960970
318,Svetlogorsk,584051
319,Rorvik,3141310
320,Inuvik,5983607
321,Torbay,6167817
322,Coquimbo,3893629
323,Garissa,197745
324,Santa Cruz,5393052
325,Gualeguaychu,3433658
326,Sitka,4267710
327,Russell,3844421
328,Ewa Beach,5855051
329,Anzhero-Sudzhensk,1511494
330,Arraial do Cabo,3471451
331,Anadyr,2127202
332,Susanville,5572400
333,Lazaro Cardenas,3996234
334,Rincon,4218882
335,Paamiut,3421193
336,Pevek,2122090
337,Kudahuvadhoo,1337607
338,Ngunguru,2186111
339,Carballo,3126369
340,Ouesso,2255564
341,Altay,1529651
342,Vocklabruck,2762343
343,Zalantun,2033225
344,Borujerd,140044
345,Ugoofaaru,1337619
346,Huarmey,3939168
347,Caluquembe,3351024
348,Waipawa,2185329
349,Peterhead,2078025
350,Prince Rupert,6113406
351,Makhachkala,532096
352,Oistins,3373652
353,Akdepe,601551
354,Hay River,5972762
355,Tilichiki,2120591
356,Harper,4696310
357,Nuuk,3421319
358,Emerald,2167426
359,Manacapuru,3663529
360,Batagay,2027044
361,Gornopravdinsk,1506268
362,Tianmen,1805618
363,Mana,789988
364,Coihaique,3894426
365,San Ignacio,3872175
366,Kondagaon,1266216
367,Leshukonskoye,535839
368,Port Alfred,964432
369,Kalmar,2702261
370,Snyder,5530921
371,Tuatapere,2180815
372,Yunyang,1785661
373,Komsomolskiy,1486910
374,Samarai,2132606
375,Pauini,3662927
376,Obo,236950
377,Chama,920901
378,Hirado,1862555
379,Kelvington,5990669
380,Yulara,6355222
381,Taguatinga,3469058
382,Kieta,2094027
383,Candido Mendes,3403395
384,Zinder,2437798
385,Marawi,1701054
386,Mato Verde,3457398
387,Richards Bay,962367
388,Yar-Sale,1486321
389,San Andres,1690438
390,Fare,4034496
391,Okha,2122614
392,Khor,2022317
393,Jiuquan,1280957
394,Dunedin,2191562
395,Kutum,371745
396,Luderitz,3355672
397,Corning,5113760
398,Mako,65785
399,Harda,1270375
400,Marsa Matruh,352733
401,Novochernorechenskiy,1497132
402,Tibagi,3446550
403,Magnor,2718393
404,Gbarnga,2277060
405,Barinitas,3648540
406,Port Lincoln,2063036
407,Kununurra,2068110
408,Panaba,3521972
409,Madang,2091996
410,Sumbe,3346015
411,Brigantine,4500920
412,Fomboni,921889
413,Teixoso,2733628
414,Shitkino,1492110
415,Amapa,3603330
416,Okhotsk,2122605
417,Oyama,1853483
418,Real,1691812
419,Berlevag,780687
420,Aqtobe,610611
421,Farafangana,1065158
422,Machado,3458211
423,Mauguio,2995121
424,Anchorage,5879400
425,Kawalu,1640902
426,Agadez,2448085
427,Kholtoson,2022369
428,Atkarsk,580420
429,Faya,110690
430,Muyezerskiy,524100
431,Hangu,1177203
432,Ajdabiya,89113
433,Revuca,723747
434,Cooma,2170577
435,Boone,4456703
436,San Jose,1689431
437,Havre-Saint-Pierre,5972291
438,Betzdorf,2949669
439,Coos Bay,5720495
440,Lekoni,2399831
441,Riverton,5836665
442,Alindao,240999
443,La Ronge,6050066
444,Den Helder,2757220
445,Maindargi,1264297
446,Haines Junction,5969025
447,Miandrivazo,1059051
448,Faanui,4034551
449,Touros,3386213
450,Basco,4863349
451,Birao,240210
452,Zhuhai,2052479
453,Tezu,1254709
454,Chazuta,3698414
455,Danshui,1813812
456,Mokhsogollokh,2019867
457,Avera,4231997
458,Beyneu,610298
459,Soyo,2236967
460,Ios,261772
461,Sinazongwe,897456
462,Inhapim,3461214
463,Cabra,2520645
464,San Juan,3837213
465,Kavieng,2094342
466,Joshimath,1268814
467,San Policarpo,1688696
468,Kitakata,1859319
469,Mount Gambier,2156643
470,Kintampo,2299625
471,Monforte de Lemos,3116478
472,Aksu,1524298
473,Jaguaribe,3397675
474,Maha Sarakham,1608900
475,Yangambi,203717
476,Praia,3460954
477,Saint-Anselme,6945984
478,Swellendam,950709
479,Kathu,991664
480,Palmer,5871146
481,Union,5810176
482,Dehloran,136702
483,Mehamn,778707
484,Manta,685981
485,Warrnambool,2144528
486,Sulangan,1685422
487,Blackwater,2639577
488,Bandar-e Lengeh,141665
489,Rosetta,350203
490,Voyvozh,471308
491,Shache,1280037
492,Petropavlovsk-Kamchatskiy,2122104
493,Osmena,1697549
494,Dunda,1253628
495,Cerritos,5335663
496,Eyl,60019
497,Gizo,6693679
498,Palivere,588015
499,Gairo,159909
500,Katsuura,1865309
501,Darlowo,3100637
502,Port Moresby,2088122
503,Khurba,2022174
504,Port Hedland,2063042
505,Srednekolymsk,2121025
506,Logan,5777544
507,Kapit,1737185
508,Copparo,3178137
509,Concepcion,3683538
510,Banposh,1277247
511,Alexandria,4314550
512,Santa Marta,3668605
513,Laguna,4013704
514,Kaa-Khem,1500973
515,Turkmenabat,1219649
516,Waitara,2208091
517,Pashiya,512413
518,Walvis Bay,3359638
519,Gori,614455
520,Carauari,3664659
521,Amahai,1651591
522,Vagur,2610806
523,Raudeberg,3146487
524,Kotovo,543633
525,Sinnamary,3380290
526,Lososina,2123688
527,Kajaani,654901
528,Miranda,3674702
529,Brae,2654970
530,Grootfontein,3357114
531,Ulladulla,2145554
532,Maroantsetra,1060283
533,Oriximina,3393471
534,Bathsheba,3374083
535,Saldanha,2737599
536,Opuwo,3354077
537,Longyearbyen,2729907
538,Churapcha,2025241
539,Palana,2122262
540,Broken Hill,2173911
541,Vaitape,4033077
542,Nouadhibou,2377457
543,La Paz,4000900
544,Rocha,3440777
545,Seddon,6243926
546,Mokrousovo,1498511
547,Yarada,1252783
548,Dourbali,2433055
549,Harnosand,2707684
550,Saurimo,145531
551,Aasiaat,3424901
552,Antalaha,1071296
553,Saint-Joseph,3037456
554,Horki,627905
555,Madimba,2221046
556,Kobrinskoye,547005
557,High Level,5975004
558,Kidal,2455290
559,Maun,933366
560,Kamenka,553725
561,Grand-Lahou,2288105
562,Dicabisagan,1715015
563,Xanxere,3444848
564,Scarborough,2638419
565,Izhma,554830
566,Cabedelo,3404558
567,Bredy,1508811
568,Uglekamensk,2014573
569,Muros,3115824
570,Jaisinghnagar,1264542
571,Sayansk,2055166
572,San Pedro,3428576
573,Mufulira,905395
574,Tagbac,1697559
575,Bethanien,3358416
576,Aykhal,2027296
577,Mweka,207596
578,Pochutla,3517970
579,Nanchang,1800163
580,Horodnytsya,708324
581,Morondava,1058381
582,Elko,5703670
583,Tessalit,2449893
